1password-beta 8.12.30_19.BETA-19.1
haskell-asn1-parse 0.9.5-373
haskell-asn1-types 0.3.4-352
haskell-assoc 1.1.1-41
haskell-async 2.2.6-86
haskell-attoparsec 0.14.4-218
haskell-attoparsec-aeson 2.2.2.0-3
haskell-auto-update 0.1.6-492
haskell-base-compat 0.14.1-2
haskell-base-orphans 0.9.4-29
haskell-base-unicode-symbols 0.2.4.2-16
haskell-base16-bytestring 1.0.2.0-223
haskell-base64-bytestring 1.2.1.0-358
haskell-basement 0.0.16-4
haskell-bifunctors 5.6.3-40
haskell-bitvec 1.1.6.0-8
haskell-blaze-builder 0.4.4.1-69
haskell-blaze-html 0.9.2.0-146
haskell-blaze-markup 0.8.3.0-156
haskell-boring 0.2.2-3
haskell-bsb-http-chunked 0.0.0.4-540
haskell-byteorder 1.0.4-27
haskell-call-stack 0.4.0-469
haskell-case-insensitive 1.2.1.0-462
haskell-cassava 0.5.4.1-81
haskell-cborg 0.2.10.0-137
haskell-cereal 0.5.8.3-4
haskell-character-ps 0.1-1
haskell-citeproc 0.8.1.2-14
haskell-cmdargs 0.10.22-4
haskell-colour 2.3.7-53
haskell-commonmark 0.2.6.1-51
haskell-commonmark-extensions 0.2.6-4
haskell-commonmark-pandoc 0.2.3-10
haskell-comonad 5.0.10-28
haskell-conduit 1.3.6.1-185
haskell-conduit-extra 1.3.8-129
haskell-constraints 0.14.4-7
haskell-contravariant 1.5.6-1
haskell-cookie 0.5.0-2
haskell-cryptohash-md5 0.11.101.0-245
haskell-crypton 1.0.5-2
haskell-crypton-connection 0.4.5-80
haskell-crypton-socks 0.6.2-60
haskell-crypton-x509 1.7.7-110
haskell-crypton-x509-store 1.6.14-1
haskell-crypton-x509-system 1.6.8-19
haskell-crypton-x509-validation 1.6.14-99
haskell-data-default 0.7.1.3-102
haskell-data-default-class 0.1.2.2-2
haskell-data-default-instances-containers 0.1.0.3-4
haskell-data-default-instances-dlist 0.0.1.2-205
haskell-data-default-instances-old-locale 0.0.1.2-2
haskell-data-fix 0.3.4-230
haskell-dec 0.0.6-3
haskell-digest 0.0.2.1-2
haskell-distributive 0.6.3-37
haskell-djot 0.1.2.4-21
haskell-dlist 1.0-456
haskell-doclayout 0.5.0.2-1
haskell-doctemplates 0.11.0.1-130
haskell-easy-file 0.2.5-164
haskell-emojis 0.1.5-17
haskell-erf 2.0.0.0-27
haskell-fast-logger 3.2.4-80
haskell-file-embed 0.0.16.0-2
haskell-generically 0.1.1-131
haskell-generics-sop 0.5.1.4-1
haskell-glob 0.10.2-280
haskell-gridtables 0.1.1.0-64
haskell-haddock-library 1.11.0-243
haskell-half 0.3.3-110
haskell-hashable 1.4.7.0-109
haskell-hourglass 0.2.12-389
haskell-hslua 2.3.1-24
haskell-hslua-aeson 2.3.2-7
haskell-hslua-classes 2.3.2-4
haskell-hslua-core 2.3.2.1-2
haskell-hslua-list 1.1.4-74
haskell-hslua-marshalling 2.3.2-10
haskell-hslua-module-doclayout 1.2.0.1-3
haskell-hslua-module-path 1.1.1-164
haskell-hslua-module-system 1.1.3-3
haskell-hslua-module-text 1.1.1-16
haskell-hslua-module-version 1.1.1-206
haskell-hslua-module-zip 1.1.4-4
haskell-hslua-objectorientation 2.3.1-93
haskell-hslua-packaging 2.3.1-195
haskell-hslua-repl 0.1.2-188
haskell-hslua-typing 0.1.1-187
haskell-http-api-data 0.6.1-83
haskell-http-client 0.7.19-100
haskell-http-client-tls 0.3.6.4-193
haskell-http-date 0.0.11-281
haskell-http-media 0.8.1.1-157
haskell-http-types 0.12.4-177
haskell-http2 5.1.4-17
haskell-hunit 1.6.2.0-511
haskell-indexed-traversable 0.1.5-1
haskell-indexed-traversable-instances 0.1.2.1-31
haskell-integer-conversion 0.1.1-97
haskell-integer-logarithms 1.0.4-230
haskell-iproute 1.7.15-127
haskell-ipynb 0.2-334
haskell-isocline 1.0.9-4
haskell-jira-wiki-markup 1.5.1-165
haskell-juicypixels 3.3.9-135
haskell-lexer 1.2-2
haskell-libyaml 0.1.4-213
haskell-lpeg 1.1.0.1-9
haskell-lua 2.3.4-46
haskell-memory 0.18.0-151
haskell-mime-types 0.1.2.1-1
haskell-mmorph 1.2.2-1
haskell-monad-control 1.0.3.1-353
haskell-mono-traversable 1.0.21.0-187
haskell-network 3.1.4.0-164
haskell-network-bsd 2.8.1.0-354
haskell-network-byte-order 0.1.7-4
haskell-network-control 0.1.4-4
haskell-network-uri 2.6.4.2-177
haskell-old-locale 1.0.0.7-33
haskell-old-time 1.1.1.0-19
haskell-onetuple 0.4.3-8
haskell-only 0.1-25
haskell-optparse-applicative 0.18.1.0-411
haskell-ordered-containers 0.2.4-143
haskell-os-string 2.0.11-35
haskell-pandoc 3.6.1-9
haskell-pandoc-lua-engine 0.4.1-14
haskell-pandoc-lua-marshal 0.3.1-5
haskell-pandoc-server 0.1.0.11-8
haskell-pandoc-types 1.23.1.2-1
haskell-pem 0.2.4-429
haskell-pretty-show 1.10-20
haskell-prettyprinter 1.7.2-10
haskell-prettyprinter-ansi-terminal 1.1.4-78
haskell-primitive 0.9.1.0-199
haskell-psqueues 0.2.8.3-40
haskell-quickcheck 2.15.0.1-217
haskell-random 1.2.1.3-304
haskell-recv 0.1.1-114
haskell-regex-base 0.94.0.3-3
haskell-regex-tdfa 1.3.2.5-94
haskell-resourcet 1.3.0-16
haskell-safe 0.3.21-148
haskell-safe-exceptions 0.1.7.4-276
haskell-scientific 0.3.8.1-113
haskell-semialign 1.3.1.1-25
haskell-semigroupoids 6.0.2-46
haskell-serialise 0.2.6.1-225
haskell-servant 0.20.3.0-104
haskell-servant-server 0.20.3.0-136
haskell-simple-sendfile 0.2.32-249
haskell-singleton-bool 0.1.8-89
haskell-skylighting 0.14.5-14
haskell-skylighting-core 0.14.5-14
haskell-skylighting-format-ansi 0.1-347
haskell-skylighting-format-blaze-html 0.1.2-17
haskell-skylighting-format-context 0.1.0.2-311
haskell-skylighting-format-latex 0.1-346
haskell-some 1.0.6-115
haskell-sop-core 0.5.0.2-4
haskell-split 0.2.5-210
haskell-splitmix 0.1.3.1-16
haskell-statevar 1.2.2-5
haskell-streaming-commons 0.2.3.1-46
haskell-strict 0.5.1-123
haskell-syb 0.7.4-3
haskell-tagged 0.8.10-1
haskell-tagsoup 0.14.8-369
haskell-tasty 1.5.4-4
haskell-temporary 1.3-1037
haskell-texmath 0.12.8.13-2
haskell-text-conversions 0.3.1.1-207
haskell-text-icu 0.8.0.5-147
haskell-text-iso8601 0.1.1.1-28
haskell-text-short 0.1.6.1-70
haskell-th-abstraction 0.6.0.0-1
haskell-th-compat 0.1.7-40
haskell-th-lift 0.8.7-1
haskell-th-lift-instances 0.1.20-196
haskell-these 1.2.1-333
haskell-time-compat 1.9.9-100
haskell-time-manager 0.0.1-189
haskell-tls 2.0.6-124
haskell-toml-parser 2.0.2.0-30
haskell-transformers-base 0.4.6.1-84
haskell-transformers-compat 0.7.2-4
haskell-typed-process 0.2.13.0-265
haskell-typst 0.6.1-53
haskell-typst-symbols 0.1.7-1
haskell-unicode-collation 0.1.3.7-18
haskell-unicode-data 0.7.0-9
haskell-unicode-transforms 0.4.0.1-221
haskell-uniplate 1.6.13-378
haskell-unix-compat 0.7.4.1-91
haskell-unix-time 0.4.17-112
haskell-unliftio 0.2.25.1-132
haskell-unliftio-core 0.2.1.0-4
haskell-unordered-containers 0.2.21-14
haskell-utf8-string 1.0.2-340
haskell-uuid-types 1.0.6.1-65
haskell-vault 0.3.2.0-1
haskell-vector 0.13.2.0-518
haskell-vector-algorithms 0.9.1.0-175
haskell-vector-stream 0.1.0.1-4
haskell-wai 3.2.4-192
haskell-wai-app-static 3.1.9.1-22
haskell-wai-cors 0.2.7-528
haskell-wai-extra 3.1.18-108
haskell-wai-logger 2.5.0-182
haskell-warp 3.4.0-84
haskell-witherable 0.5-2
haskell-word8 0.1.3-25
haskell-xml 1.3.14-33
haskell-xml-conduit 1.9.1.4-203
haskell-xml-types 0.3.8-11
haskell-yaml 0.11.11.2-257
haskell-zip-archive 0.4.3.2-149
haskell-zlib 0.7.1.0-22
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highway 1.4.0-1
hslua-cli 1.4.4-11
huenicorn 1.1.0-1
hunspell 1.7.3-1
hwdata 0.409-1
hwloc 2.14.0-1
hyphen 2.8.9-1
hyprcursor 0.1.13-7
hyprgraphics 0.5.1-4
hypridle 0.1.7-10
hyprland 0.56.0-2
hyprland-guiutils 0.2.2-1
hyprland-preview-share-picker 0.2.1-1
hyprlang 0.6.8-5
hyprlock 0.9.6-1
hyprpicker 0.4.7-2
hyprshot 1.3.0-4
hyprsunset 0.4.0-3
hyprtoolkit 0.5.4-3
hyprutils 0.14.0-1
hyprwayland-scanner 0.4.6-1
hyprwire 0.3.1-3
iana-etc 20260530-1
icu 78.3-1
ijs 0.35-7
imagemagick 7.1.2.27-1
imath 3.2.2-6
imlib2 1.12.6-2
impala 0.7.4-1
imv 5.0.1-2
inetutils 2.8-1
iniparser 4.2.6-2
inotify-tools 4.25.9.0-1
intel-ucode 20260512-1
inxi 3.3.41.1-1
iproute2 7.1.0-1
iptables 1:1.8.13-1
iputils 20250605-1
iso-codes 4.20.1-1
iw 6.17-1
iwd 3.12-1
jansson 2.15.0-1
java-environment-common 3-6
java-runtime-common 3-6
jbig2dec 0.20-2
jbigkit 2.1-8
jdk-openjdk 26.0.1.u8-1
jemalloc 1:5.3.1-2
jq 1.8.2-1
js140 140.12.0-1
json-c 0.19-1
json-glib 1.10.8-1
jsoncpp 1.9.6-3
kaccounts-integration 26.04.3-1
karchive 6.28.0-1
kbd 2.10.0-1
kbookmarks 6.28.0-1
kcmutils 6.28.0-1
kcodecs 6.28.0-1
kcolorscheme 6.28.0-1
kcompletion 6.28.0-1
kconfig 6.28.0-1
kconfigwidgets 6.28.0-1
kcoreaddons 6.28.0-1
kcrash 6.28.0-1
kdbusaddons 6.28.0-1
kddockwidgets 2.4.1-1
kdenlive 26.04.3-1
kernel-modules-hook 0.1.7-3
keyutils 1.6.3-4
kfilemetadata 6.28.0-1
kglobalaccel 6.28.0-1
kguiaddons 6.28.0-1
ki18n 6.28.0-1
kiconthemes 6.28.0-1
kio 6.28.0-1
kirigami 6.28.0-1
kirigami-addons 1.13.1-1
kitemmodels 6.28.0-1
kitemviews 6.28.0-1
kjobwidgets 6.28.0-1
kmod 34.2-1
knewstuff 6.28.0-1
knotifications 6.28.0-1
knotifyconfig 6.28.0-1
kpackage 6.28.0-1
krb5 1.22.2-1
kservice 6.28.0-1
ksvg 6.28.0-1
ktextwidgets 6.28.0-1
kvantum 1.1.8-1
kvantum-qt5 1.1.8-1
kwallet 6.28.0-1
kwidgetsaddons 6.28.0-1
kwindowsystem 6.28.0-1
kxmlgui 6.28.0-1
l-smash 2.14.5-4
lame 4.0-1
lapack 3.12.1-2
lazydocker 0.25.2-1
lazygit 0.63.1-1
lcms2 2.19.1-1
ldb 2:4.24.4-1
leancrypto 1.8.0-1
leptonica 1.87.0-1
less 1:704-1
lib32-alsa-lib 1.2.16.1-1
lib32-alsa-plugins 1.2.12-1
lib32-brotli 1.2.0-2
lib32-bzip2 1.0.8-4
lib32-curl 8.21.0-1
lib32-dbus 1.16.2-1
lib32-e2fsprogs 1.47.4-1
lib32-expat 2.8.2-1
lib32-fontconfig 2:2.18.2-1
lib32-freetype2 2.14.3-1
lib32-gcc-libs 16.1.1+r346+g4e03491b401d-4
lib32-glib2 2.88.2-1
lib32-glibc 2.43+r37+gfdf10644d6ee-1
lib32-gmp 6.3.0-2
lib32-gnutls 3.8.13-3
lib32-icu 78.3-1
lib32-json-c 0.19-1
lib32-keyutils 1.6.3-4
lib32-krb5 1.22.2-1
lib32-libdrm 2.4.134-1
lib32-libelf 0.195-1
lib32-libffi 3.7.1-1
lib32-libgcrypt 1.12.2-1
lib32-libglvnd 1.7.0-1
lib32-libgpg-error 1.61-1
lib32-libidn2 2.3.8-1
lib32-libldap 2.6.13-1
lib32-libnghttp2 1.69.0-1
lib32-libnghttp3 1.17.0-1
lib32-libngtcp2 1.24.0-1
lib32-libnm 1.56.1-1
lib32-libpciaccess 0.19-1
lib32-libpipewire 1:1.6.8-1
lib32-libpng 1.6.58-2
lib32-libpsl 0.21.5-1
lib32-libssh2 1.11.1-4
lib32-libtasn1 4.21.0-1
lib32-libunistring 1.4.2-1
lib32-libva 2.22.0-1
lib32-libx11 1.8.13-1
lib32-libxau 1.0.12-1
lib32-libxcb 1.17.0-1
lib32-libxcrypt 4.5.2-1
